"Hercules - Platinum Package",299.95,229.95,199.95,299.95,hercules-platinum-package,0
"Hydromax X30 - Platinum Package",299.95,229.95,199.95,299.95,hydromax-x30-platinum-package,0
"Hydromax X40 - Platinum Package",349.95,259.95,219.95,349.95,hydromax-x40-platinum-package,0
"Goliath - Platinum Package",349.95,259.95,239.95,349.95,goliath-platinum-package,0
Hercules,118.95,79.95,69.95,118.95,hercules,0
"Hercules + Cleaning Kit",129.95,99.95,89.95,129.95,hercules-cleaning-kit,0
"Hydromax X30",159.00,109.95,99.90,159.00,hydromax-x30,0
"Hydromax X30 + Cleaning Kit",188.95,139.95,119.95,189.95,hydromax-x30-cleaning-kit,0
"Hydromax X40",199.00,149.95,129.95,199.00,hydromax-x40,0
"Hydromax X40 + Cleaning Kit",228.95,179.95,149.95,229.95,hydromax-x40-cleaning-kit,0
Goliath,199.00,149.95,129.95,199.00,goliath,0
"Goliath + Cleaning Kit",228.95,179.95,149.95,229.95,goliath-cleaning-kit,0
"Hydromax Xtreme X30",299.00,219.95,189.00,299.00,hydromax-xtreme-x30,0
"Hydromax Xtreme X40",349.00,259.00,219.00,349.00,hydromax-xtreme-x40,0
"Cleaning Kit",49.90,29.95,24.95,49.90,cleaning-kit,1
"Shower Strap",49.00,29.95,25.95,49.00,shower-strap,1
"Money Spanker Vibro",59.95,49.95,39.95,59.95,money-spanker-vibro,1
"Essentail Package",59.97,49.95,39.95,59.97,essentail-package,1
"Gun Oil Shine - Cleaning Foam",19.95,17.95,9.95,19.95,gun-oil-shine-cleaning-foam,1
"Gun Oil Shine - H20 Lube",19.95,17.95,9.95,19.95,gun-oil-shine-h20-lube,1