Item,usd,eur,gbp,cad
Hercules - Platinum Package,299.95,229.95,199.95,299.95
Hydromax X30 - Platinum Package,299.95,229.95,199.95,299.95
Hydromax X40 - Platinum Package,349.95,259.95,219.95,349.95
Goliath - Platinum Package,349.95,259.95,239.95,349.95
Hercules,118.95,79.95,69.95,118.95
Hercules + Cleaning Kit,129.95,99.95,89.95,129.95
Hydromax X30,159.00,109.95,99.90,159.00
Hydromax X30 + Cleaning Kit,188.95,139.95,119.95,189.95
Hydromax X40,199.00,149.95,129.95,199.00
Hydromax X40 + Cleaning Kit,228.95,179.95,149.95,229.95
Goliath,199.00,149.95,129.95,199.00
Goliath + Cleaning Kit,228.95,179.95,149.95,229.95
Hydromax Xtreme X30,299.00,219.95,189.00,299.00
Hydromax Xtreme X40,349.00,259.00,219.00,349.00
Cleaning Kit,49.90,29.95,24.95,49.90
Shower Strap,49.00,29.95,25.95,49.00
Money Spanker Vibro,59.95,49.95,39.95,59.95
Essentail Package,59.97,49.95,39.95,59.97
Gun Oil Shine - Cleaning Foam,19.95,17.95,9.95,19.95
Gun Oil Shine - H20 Lube,19.95,17.95,9.95,19.95